"post_id","caption","comments_count","like_count","media_type","timestamp","username","owner_id"
"17841629395049476",머리 빨리 길었으면 좋겠다,1,29,FEED,"2015-03-06T10:46:14+0000",vevi_d_live,"17841401484258776"
"17841637228049476",수줍어보다.,0,32,FEED,"2015-03-06T16:10:20+0000",vevi_d_live,"17841401484258776"
"17841637231049476",Normally life time,6,18,FEED,"2014-01-12T23:43:56+0000",vevi_d_live,"17841401484258776"
"17842026298049476",아련하다. 그저,0,11,FEED,"2015-07-21T08:06:48+0000",vevi_d_live,"17841401484258776"
"17842176055049476","현대의 사람들은 모두 정신병을 앓고 있고 자신도 모르는 사이에 그렇게 병들어서 죽어간다.

정신병을 인지하는 것에서 치료는 시작된다.
#괴물 #monster #ばけもの #사람 #정신병",2,12,FEED,"2015-08-23T13:59:48+0000",vevi_d_live,"17841401484258776"
"17842176067049476",#hello #오랜만 #죽겠네,0,18,FEED,"2015-08-23T14:03:24+0000",vevi_d_live,"17841401484258776"
"17842178233049476",Working,0,21,FEED,"2014-11-14T18:34:07+0000",vevi_d_live,"17841401484258776"
"17842178239049476",여름^^,4,28,FEED,"2014-07-20T09:16:57+0000",vevi_d_live,"17841401484258776"
"17842209037360188",".
작년
4월 쯤 이었던 거 같은데
머리 많이 길었다
Photo by . gomchuno
.

#첫줄 #안녕#추억 #셀스타그램 #travel
#데일리 #일상스타그램 #daily #dailygram #좋아요 #인친 #얼스타그램#서울#부산#seoul#사진 #좋아요반사#like#you #me#follow4follow#follow #korea  #myself#photo#selstargrem#dailyfeedx",2,65,FEED,"2019-01-29T10:18:09+0000",vevi_d_live,"17841401484258776"
"17842254157295408",".
어제의 핵존맛 횟집
고기쟁이♡
.
#연산동맛집 #고기쟁이 #회#데일리 #럽스타그램#일상스타그램 #daily #dailygram #소통#맞팔해요#셀카#인친 #얼스타그램#서울#부산#여자#해운대#서면 #좋아요 #follow4follow#follow#me #korea #selfie#me#myself#photo#bf#selstargrem#dailyfeedx#love",2,95,FEED,"2018-08-22T14:50:47+0000",vevi_d_live,"17841401484258776"
"17842261156101182",#홍석천 #하드록카페 #부산 #hongsukchun #hardrockcafebusan,1,33,FEED,"2015-11-13T18:25:05+0000",vevi_d_live,"17841401484258776"
"17842577654682742",".
solo shot
happy halloween
.
#첫줄 #안녕 #첫줄안녕 #할로윈 #할로윈코스튬 #베놈 #오징어게임 #서울 #부산 #이태원 #서면 #서면할로윈 #광안리 #특수분장 #halloween #halloweencostume #sfx #venom  #squidgame #selfie  #selstagram  #dailyfeedx #df #daily #좋반 #좋아요 #followforfollowback #fff  #like #likeforlikes",3,79,FEED,"2021-10-31T06:07:03+0000",vevi_d_live,"17841401484258776"
"17842832518407427",".
봄
벚꽃
커피
하늘
.
#첫줄 #안녕 #하늘 #커피 #카메라
#데일리 #일상스타그램 #daily #dailygram #좋아요 #인친 #셀카그램 #서울#부산#동래 #서면 #벚꽃 #좋아요반사#like #cherryblossom #me#follow4follow#follow #korea  #myself#photo#selstargrem#dailyfeedx#sky",3,114,FEED,"2019-03-31T14:45:28+0000",vevi_d_live,"17841401484258776"
