post_id,caption,comments_count,like_count,media_type,timestamp,username,owner_id
17842161776370935,"7월말
여름휴가로
군산에서1박하고
전주에서 1박했는데

전주에서
연꽃 제일많이
볼수 있는
덕진공원에 갔었어욤??

연꽃과 연잎이
엄청ㅋㅋ많았어요
잎도 엄청 크더라구요????????

세미원보다
훨씬 넓은것 같에욥
제ㅋㅋ생각입니당 

비오고나서
진짜
후덥지근
했는데
이쁜사진건져서
만족한 여행이였어욤??

여름에 
전주
여행가시면
덕진공원도
꼭 가보세욤??

??가격ㅡ공짜??

#여행 #여행스타그램 #휴가그램 #덕진공원 #감성여행 #휴가앓이#휴가또가고싶다 #덕진공원연꽃#연꽃 #여행일상#휴가사진#휴가스타그램#전주가볼만한곳#소통그램 #소통해요 #감성 #소통환영 #전주덕진공원#소통#데이트코스추천#나들이코스추천 #맞팔 #선팔 #선팔하면맞팔 #맞팔해요 #선팔맞팔#선팔후맞팔#f4f#fffff#followforfollowback",82,280,FEED,2020-08-28T01:28:00+0000,wescsp1121,17841433301997424
17842374800795759,"주말에
갈때없으면
자주가는 더현대서울??

놀기 너무 편해요
특히 요즘 같이

비가오고나 더울때

실내쇼핑이 최고??
즐거운 불금 보내세요

오늘은 날씨가
화창하네요??",69,비공개,FEED,2022-06-30T22:42:09+0000,wescsp1121,17841433301997424
17842481708248346,"일산 벨라시타 투어

처음와봐쏘욤
먹을것도 많고
야외에 아기자기 꾸며져
있어서 가족끼리 놀기도
좋은곳이였어요??

지하1층 푸드코트
먹을게많더라구요
층층마다 음식점이
있던데 다 돌아보지 못했음
매장이 크더라구요

벨라시타안에 옷매장도
있고 영화관도 있고
좋았어요?? 구경할게 많음

재방문의사?????? #일상 #daily #instadaily #일상스타그램 #일상그램 #데일리그램 #데일리 #인친 #ootd? #소통그램 #소통해요 #소통환영 #맞팔 #선팔 #선팔하면맞팔 #맞팔해요 #f4f#fff #followforfollowbacks#follow4follow #친스타그램#선팔댓글#일산데이트#데이트코스#벨라시타",89,326,FEED,2020-06-12T13:32:47+0000,wescsp1121,17841433301997424
17842587551992457,"디테일이 예술인 디저트 카페
#로슈아커피
주말에 양주 데이트 갔었는데
점심 먹고 남편 추천으로
로슈아카페  갔다 왔어요 ???????????

로슈아카페 시그니처 디저트
옥수수모양 로수수ㅡ9.9
선인장 모양 애리조나체크인-8.9
선택 장애 안 생기게 
둘 다 먹었어요ㅎㅎㅎ

추가로 라즈베리 빨미까레도 시킴
디저트 값이 밥값보다 비쌈^^

선인장 모양 디저트는
녹차 아이스크림이고

옥수수 모양 디저트는
크림치즈케이크맛 +옥수수알갱이가
들어있어서 맛있어요
커피도 맛있음 

양주 데이트 하실때
로슈아 카페 추천해욤??

즐거운 주말보내세요

???로슈아커피 양주
경기 양주시 광사로 145 로슈아커피
주차공간있음  2층 노키즈존
open 11:00 -21:00",36,비공개,FEED,2023-05-12T01:49:40+0000,wescsp1121,17841433301997424
17842736288329860,"전주한옥마을에서
젤 맛있는 육전?

교동육전이구요
소고기 육전>_<
먹었어요

전은뜨거울때
먹어야한다는점??

역시소고기ㅜㅜ
부드럽고
질기지도않고

파절임이랑 
같이먹으니
너무 맛있네용
파절임  양념이
기가막힙니당ㅎㅎㅎ

가격
소고기육전ㅡ8000원

또먹고싶어지네용ㅎㅎ
야식으로 좋은것같에욤

맛있으면0 칼로리쥬??

#맛스타그램 #마스타 #맛있다그램 #먹스타그램 #맛있어 #먹방#와썹맨맛집 #취향저격#전주한옥마을육전#육전맛집 #전주한옥마을#야식#전주한옥마을간식#야식추천#전주육전#전주육전추천#onthetable#instafood#교동육전#foodstagram#food#냠냠쩝쩝#먹팔해요#소통#소통환영#맞팔선팔#맞팔#먹팔",68,239,FEED,2020-08-01T13:36:19+0000,wescsp1121,17841433301997424
17843197727935650,"#글리코상 이
도톤보리 중심가에
있어서 한국사람들이
많더라구요:)

글리코상 앞에서
남편이랑 같이 
사진찍고 싶어서
한국분께 부탁해서 
사진 건졌어요??

삼각대 못가져가게한
남편때문에^^ 
투샷을 못 찍을줄 알았는데
이런 행운이??
좋은 추억 남기고 왔답니당 :)

주말에  사진정리해서
교토간거 올려보게요???♀?

즐거운 불금 보내세요??",39,비공개,FEED,2023-02-03T01:16:47+0000,wescsp1121,17841433301997424
17843257871564540,"#비오는날 데이트??

결혼준비하느라
바쁘지만
틈틈이

이쁜곳 데리고
가줘서  고마웡??

최작가 오늘도
건졌따??

#서촌#데이트#데이트코스#그라운드시소서촌#데이트그램#럽스타그램#비오는날#비오는날데이트#일상 #daily #instadaily #일상스타그램 #일상그램 #ootd? #소통그램 #소통해요 #감성 #소통환영 #맞팔 #선팔 #선팔하면맞팔 #맞팔해요#친스타그램#선팔하면맞팔가요#댓글환영#좋아요#좋아요꾹",43,194,FEED,2021-04-03T15:36:59+0000,wescsp1121,17841433301997424
17843366699939261,"#협찬#낫포유퍼밍업넥세럼

다들 목주름 관리하고 계시나욤?
나이를 속일수
없는곳이  바로 목주름이래요??
요즘 목주름이 은근 신경쓰이더라구요

목주름에  맞는 필러도 있다고는 
하는데  그런건 무섭고
부작용도 있을꺼 같에서  저는
#낫포유퍼밍업넥세럼 화장품
으로 목주름을 케어해보려구요

꾸준히  사용해서  진해진
목주름을 관리해볼라구욥??

낫포유퍼밍 넥세럼은
향기도 향긋하고
끔적임이 없어서 좋은것같에요:)
목이 촉촉해진 기분 ㅎㅎ

하루 빨리 목주름이
옅어졌으면 좋겠어요??

#낫포유#not4u#넥케어#넥세럼#퍼밍업넥케어#넥케어추천#넥케어세럼#목주름관리#목주름개선#주름개선#뷰티그램#뷰티제품#뷰티스타그램#목관리#목주름예방#좋아요",0,비공개,FEED,2023-02-11T16:12:53+0000,wescsp1121,17841433301997424
17844220856451305,"가을가을
간만에

#시밀러룩
#럽스타그램
피드 올릴꺼생겨서
좋다요?

자주
시밀러룩ㅋㅋㅋ
입어봅시당?

주말좋아
데이트좋아
너도좋아??

#여보랑데이트#couple#couplelook#시밀러룩#커플#커플시밀러룩#커플그램#럽스타그램?#데이트룩#데이트그램#ootd#가을트렌치코트#트렌치코트#거울샷#사랑해#주말나들이#주말데이트#주말데이트룩#데이트룩#가을옷#가을옷코디#맞팔#맞팔해요#맞팔선팔#선팔환영#소통해요#소통#소통환영#좋아요#좋아요꾹",70,230,FEED,2020-10-19T02:38:27+0000,wescsp1121,17841433301997424
17844257531416766,"여행의묘미는
식도락이쥬??
먹기위해
여행가기도
하잖아욥?ㅎㅎㅎ

정선가서
#정선아리랑시장
 을 투어했습니당 

요즘
여행가면
꼭 그 지역
시장을ㅋㅋ
투어해욥?

맛있는게 많고
그지역 특산물도
맛볼 수 있어서
빼놓지않고
투어합니당

정선아리랑시장에
#회동집 이라는곳이
유명해서 갔는데
다행히ㅋㅋ웨이팅이
없었습니당
평소웨이팅이 심한곳이라는데
운좋게  바로 먹었어욥ㅎㅎㅎ

#회동집 은
백종원#3대천왕에
나왔다고하네욥ㅎ
그중 이집 베스트메뉴는
#모둠전
#콧등치기국수(비빔)
유명하더라구욥

콧등치기국수는
강원도?정선?향토?음식으로
메밀가루로?만든칼국수입니당

한?번?빨아들이면
콧등을?칠?정도로?
면발이?쫄깃하고
탄력이?좋다고?하여?붙은?이름이래욤

회동집
콧등치기국수비빔은
쫄깃한식감에 맛은
새콤달콤한
비냉같으면서 쫄면맛
ㅋㅋ그사이의
맛이라고해야하나
맛표현이 너무어렵네욥
암튼 맛있어욥
????????????

모둠전에는
(수수부꾸미.메밀전병.녹두빈대떡.메밀배추전)
요렇게 구성되어있어욥
전들이 다 맛있어욥?? 
녹두빈대떡은
바삭한식감이 인상깊었습니당ㅎㅎ
수수부꾸미도 굉장히 부드러우면서
맛있어욥

정선은
곤드레밥이또유명해욥
안먹을수없죵??
곤드레가 부드럽고
밥이랑 따로놀지 않고
부드럽게 같이 목으로
넘어갔어욥ㅎㅎ간장이랑
비벼먹으면 꿀맛이쥬

정선오시면
꼭한번ㅋㅋ시장투어해보세요
그지역 특산물도 구경할수있고
시장은또ㅋㅋ가격이
넘 착해서 가성비?최고입니당

#정선아리랑시장#정선가볼만한곳#정선시장맛집#정선회동집#모둠전#콧등치기국수#회동집추천#백종원3대천왕#취향저격#시장투어#정선여행#먹방투어#먹부림#먹스타그램#먹스타#먹팔해요#먹팔#맞팔#맞팔해요#선팔맞팔#소통#소통해요#소통환영#좋아요#좋아요꾹#좋아요?#댓글환영#일상",67,253,FEED,2020-10-15T23:53:23+0000,wescsp1121,17841433301997424
